Freq(Hz)	Ampl	Bias	Time(Sec)	Z'(a)	Z''(b)	GD	Error	Range
1.000000E+04	1.0000E-02	-2.5270E-01	2.163000E+00	4.2675E-01	-2.8417E-01	8.5383E-03	0000	020201
8.376800E+03	1.0000E-02	-2.5270E-01	3.224000E+00	4.1868E-01	-2.4191E-01	1.4395E-03	0000	020201
7.017000E+03	1.0000E-02	-2.5270E-01	4.345000E+00	4.2495E-01	-2.0492E-01	1.7042E-04	0000	020301
5.878000E+03	1.0000E-02	-2.5270E-01	5.408000E+00	4.2209E-01	-1.7286E-01	1.7093E-04	0000	020201
4.923900E+03	1.0000E-02	-2.5270E-01	6.464000E+00	4.2185E-01	-1.4537E-01	2.2975E-04	0000	020201
4.124600E+03	1.0000E-02	-2.5270E-01	8.370000E+00	4.2537E-01	-1.2961E-01	2.0391E-04	0000	020301
3.455100E+03	1.0000E-02	-2.5270E-01	9.428000E+00	4.2686E-01	-1.1011E-01	1.3333E-04	0000	020201
2.894300E+03	1.0000E-02	-2.5270E-01	1.048600E+01	4.2806E-01	-9.5110E-02	1.4806E-04	0000	020201
2.424500E+03	1.0000E-02	-2.5270E-01	1.154300E+01	4.2662E-01	-7.8990E-02	1.6555E-04	0000	020201
2.030900E+03	1.0000E-02	-2.5270E-01	1.260000E+01	4.2486E-01	-6.8718E-02	2.3462E-04	0000	020201
1.701300E+03	1.0000E-02	-2.5270E-01	1.366300E+01	4.2658E-01	-6.5946E-02	2.3920E-04	0000	020201
1.425100E+03	1.0000E-02	-2.5270E-01	1.472900E+01	4.2687E-01	-5.6472E-02	2.7209E-04	0000	020201
1.193800E+03	1.0000E-02	-2.5270E-01	1.579100E+01	4.2880E-01	-5.1309E-02	2.8335E-04	0000	020201
1.000000E+03	1.0000E-02	-2.5270E-01	1.685300E+01	4.3213E-01	-4.7883E-02	3.0520E-04	0000	020201
8.376800E+02	1.0000E-02	-2.5270E-01	1.791100E+01	4.3317E-01	-4.7792E-02	3.3329E-04	0000	020201
7.017000E+02	1.0000E-02	-2.5270E-01	1.896900E+01	4.3304E-01	-4.5268E-02	2.7099E-04	0000	020201
5.878000E+02	1.0000E-02	-2.5270E-01	2.003900E+01	4.3558E-01	-4.6632E-02	2.5503E-04	0000	020201
4.923900E+02	1.0000E-02	-2.5270E-01	2.174700E+01	4.3695E-01	-4.6390E-02	2.6626E-04	0000	020301
4.124600E+02	1.0000E-02	-2.5270E-01	2.280700E+01	4.3790E-01	-4.6573E-02	2.7211E-04	0000	020201
3.455100E+02	1.0000E-02	-2.5270E-01	2.387200E+01	4.3986E-01	-4.9736E-02	2.3456E-04	0000	020201
2.894300E+02	1.0000E-02	-2.5270E-01	2.493100E+01	4.4321E-01	-5.3805E-02	2.5944E-04	0000	020201
2.424500E+02	1.0000E-02	-2.5270E-01	2.599500E+01	4.3824E-01	-5.8734E-02	2.8762E-04	0000	020201
2.030900E+02	1.0000E-02	-2.5270E-01	2.774700E+01	3.7845E-01	-6.6323E-02	2.4730E-04	0000	020301
1.701300E+02	1.0000E-02	-2.5270E-01	2.880900E+01	3.7989E-01	-7.4098E-02	2.7048E-04	0000	020201
1.425100E+02	1.0000E-02	-2.5270E-01	2.986800E+01	3.8145E-01	-8.2678E-02	3.1520E-04	0000	020201
1.193800E+02	1.0000E-02	-2.5270E-01	3.092600E+01	3.8345E-01	-9.3793E-02	2.3332E-04	0000	020201
1.000000E+02	1.0000E-02	-2.5270E-01	3.198500E+01	3.9230E-01	-1.0604E-01	2.8853E-04	0000	020201
8.376800E+01	1.0000E-02	-2.5270E-01	3.305300E+01	3.9947E-01	-1.2229E-01	2.9266E-04	0000	020201
7.017000E+01	1.0000E-02	-2.5270E-01	3.411300E+01	4.0401E-01	-1.4174E-01	3.6821E-04	0000	020201
5.878000E+01	1.0000E-02	-2.5270E-01	3.517400E+01	4.0915E-01	-1.6401E-01	3.0225E-04	0000	020201
4.923900E+01	1.0000E-02	-2.5270E-01	3.623600E+01	4.1651E-01	-1.8858E-01	3.4034E-04	0000	020201
4.124600E+01	1.0000E-02	-2.5270E-01	3.732600E+01	4.2558E-01	-2.2023E-01	3.0882E-04	0000	020201
3.455100E+01	1.0000E-02	-2.5270E-01	3.838500E+01	4.3329E-01	-2.5633E-01	2.7981E-04	0000	020201
2.894300E+01	1.0000E-02	-2.5270E-01	3.944600E+01	4.4617E-01	-2.9756E-01	3.3923E-04	0000	020201
2.424500E+01	1.0000E-02	-2.5270E-01	4.054200E+01	4.6251E-01	-3.4577E-01	2.9726E-04	0000	020201
2.030900E+01	1.0000E-02	-2.5270E-01	4.163500E+01	4.7799E-01	-4.0145E-01	2.8691E-04	0000	020201
1.701300E+01	1.0000E-02	-2.5270E-01	4.275800E+01	5.0249E-01	-4.6392E-01	3.8771E-04	0000	020201
1.425100E+01	1.0000E-02	-2.5270E-01	4.387700E+01	5.2736E-01	-5.3316E-01	2.4751E-04	0000	020201
1.193800E+01	1.0000E-02	-2.5270E-01	4.493500E+01	5.5589E-01	-6.1730E-01	2.9213E-04	0000	020201
1.000000E+01	1.0000E-02	-2.5270E-01	4.599100E+01	5.9682E-01	-7.0277E-01	3.4940E-04	0000	020201
8.376800E+00	1.0000E-02	-2.5270E-01	4.718000E+01	6.3009E-01	-8.0881E-01	0.0000E+00	0000	020201
7.017000E+00	1.0000E-02	-2.5270E-01	4.845700E+01	6.8255E-01	-9.2426E-01	2.8638E-04	0000	020201
5.878000E+00	1.0000E-02	-2.5270E-01	4.954300E+01	7.2456E-01	-1.0557E+00	1.9489E-04	0000	020201
4.923900E+00	1.0000E-02	-2.5270E-01	5.062900E+01	8.1456E-01	-1.2196E+00	0.0000E+00	0000	020201
4.124600E+00	1.0000E-02	-2.5270E-01	5.196100E+01	8.5460E-01	-1.3732E+00	5.6589E-04	0000	020201
3.455100E+00	1.0000E-02	-2.5270E-01	5.323700E+01	9.0116E-01	-1.5336E+00	5.1490E-04	0000	020201
2.894300E+00	1.0000E-02	-2.5270E-01	5.442100E+01	9.4827E-01	-1.7987E+00	4.6335E-04	0000	020201
2.424500E+00	1.0000E-02	-2.5270E-01	5.581400E+01	1.0302E+00	-2.0003E+00	0.0000E+00	0000	020201
2.030900E+00	1.0000E-02	-2.5270E-01	5.749500E+01	1.0946E+00	-2.3570E+00	3.1938E-04	0000	020201
1.701300E+00	1.0000E-02	-2.5270E-01	5.891800E+01	1.2441E+00	-2.8171E+00	3.2860E-04	0000	020201
1.425100E+00	1.0000E-02	-2.5270E-01	6.062200E+01	1.4377E+00	-3.2794E+00	6.8752E-04	0000	020201
1.193800E+00	1.0000E-02	-2.5270E-01	6.264600E+01	1.5474E+00	-3.7973E+00	5.9781E-04	0000	020201
1.000000E+00	1.0000E-02	-2.5270E-01	6.408000E+01	1.2886E+00	-4.7411E+00	4.1583E-04	0000	020201
